Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora
ACCIONA,"141,2000","0,86","141,4000","137,5000",79.222,"11.118,54",08/09/2021,Cierre
ACERINOX,"11,4100","-1,21","11,6700","11,4000",598.333,"6.889,33",08/09/2021,Cierre
ACS,"23,3500","-0,21","23,6300","23,1100",591.272,"13.810,48",08/09/2021,Cierre
AENA,"135,3500","1,31","137,2500","132,2500",201.778,"27.271,11",08/09/2021,Cierre
ALMIRALL,"14,6900","0,62","14,8300","14,5400",593.435,"8.708,54",08/09/2021,Cierre
AMADEUS,"52,7600","0,27","53,7000","51,9200",1.393.997,"73.729,83",08/09/2021,Cierre
ARCELORMIT.,"28,2750","-1,07","28,5950","28,1050",436.410,"12.367,80",08/09/2021,Cierre
B.SANTANDER,"3,0630","-2,31","3,1195","3,0265",38.951.490,"119.484,65",08/09/2021,Cierre
BA.SABADELL,"0,5846","-3,31","0,5972","0,5836",20.761.987,"12.209,46",08/09/2021,Cierre
BANKINTER,"4,9210","-1,74","4,9930","4,8970",1.573.694,"7.765,00",08/09/2021,Cierre
BBVA,"5,5200","-1,31","5,6020","5,4690",19.836.678,"110.100,07",08/09/2021,Cierre
CAIXABANK,"2,6210","-2,78","2,6760","2,6030",12.024.063,"31.581,92",08/09/2021,Cierre
CELLNEX,"58,0600","0,76","58,2600","57,2400",1.058.598,"61.378,62",08/09/2021,Cierre
CIE AUTOMOT.,"23,5000","-2,00","24,2000","23,4200",156.918,"3.697,93",08/09/2021,Cierre
ENAGAS,"19,0200","0,26","19,0400","18,6500",652.640,"12.371,58",08/09/2021,Cierre
ENDESA,"20,2700","-0,83","20,4300","20,1600",1.028.959,"20.862,56",08/09/2021,Cierre
FERROVIAL,"25,3100","1,44","25,4100","24,6800",883.782,"22.313,89",08/09/2021,Cierre
FLUIDRA,"37,3500","-0,40","37,6500","37,0000",353.486,"13.187,42",08/09/2021,Cierre
GRIFOLS CL.A,"20,8600","0,05","20,9400","20,5100",802.768,"16.713,45",08/09/2021,Cierre
IAG,"1,7835","-1,55","1,8590","1,7700",17.346.013,"31.440,81",08/09/2021,Cierre
IBERDROLA,"10,3500","-0,29","10,3750","10,1500",12.448.155,"128.371,80",08/09/2021,Cierre
INDITEX,"29,7400","-0,03","30,0700","29,3400",2.429.154,"72.257,55",08/09/2021,Cierre
INDRA A,"8,9250","-1,54","9,0300","8,8250",511.905,"4.566,30",08/09/2021,Cierre
INM.COLONIAL,"8,4350","-2,71","8,6400","8,4350",1.371.476,"11.644,18",08/09/2021,Cierre
MAPFRE,"1,8390","-0,35","1,8565","1,8065",2.674.969,"4.907,15",08/09/2021,Cierre
MELIA HOTELS,"5,7860","0,77","5,9440","5,6740",782.428,"4.550,49",08/09/2021,Cierre
MERLIN,"9,2940","-4,68","9,7360","9,2140",1.386.458,"12.994,38",08/09/2021,Cierre
NATURGY,"21,8300","0,83","21,8700","21,5000",2.318.202,"50.473,13",08/09/2021,Cierre
PHARMA MAR,"81,3000","0,00","81,8400","80,2000",65.202,"5.292,42",08/09/2021,Cierre
R.E.C.,"17,3750","1,08","17,3750","17,0300",1.081.151,"18.731,20",08/09/2021,Cierre
REPSOL,"9,5150","-1,09","9,6470","9,3890",4.911.533,"46.693,20",08/09/2021,Cierre
SIEMENS GAME,"23,2900","-8,56","24,7100","23,1500",2.431.207,"57.336,68",08/09/2021,Cierre
SOLARIA,"15,2600","-1,13","15,5450","15,0100",964.442,"14.735,92",08/09/2021,Cierre
TELEFONICA,"4,2250","0,39","4,2290","4,1595",9.965.858,"41.989,60",08/09/2021,Cierre
VISCOFAN,"60,2500","0,17","60,3500","59,5500",49.235,"2.961,67",08/09/2021,Cierre
ACCIONA,"141,2000","0,00","142,1000","140,1000",9.752,"1.378,65",09/09/2021,10:06:15
ACERINOX,"11,3450","-0,57","11,3800","11,2400",78.859,"891,25",09/09/2021,10:07:39
ACS,"22,9400","-1,76","23,2400","22,9400",90.555,"2.091,49",09/09/2021,10:09:07
AENA,"132,0000","-2,48","134,0500","131,2500",19.755,"2.616,74",09/09/2021,10:09:01
ALMIRALL,"14,2500","-3,00","14,4900","14,2200",74.354,"1.067,06",09/09/2021,10:06:15
AMADEUS,"52,2000","-1,06","52,6200","52,0000",76.981,"4.022,85",09/09/2021,10:08:54
ARCELORMIT.,"28,2950","0,07","28,3350","27,7700",134.973,"3.785,51",09/09/2021,10:09:09
B.SANTANDER,"3,0340","-0,95","3,0640","3,0295",5.064.398,"15.414,02",09/09/2021,10:09:06
BA.SABADELL,"0,5784","-1,06","0,5820","0,5746",2.629.317,"1.520,48",09/09/2021,10:07:56
BANKINTER,"4,8930","-0,57","4,9000","4,8640",126.786,"619,08",09/09/2021,10:09:04
BBVA,"5,4440","-1,38","5,4990","5,4320",1.485.885,"8.126,06",09/09/2021,10:09:08
CAIXABANK,"2,5940","-1,03","2,6130","2,5630",2.175.293,"5.637,51",09/09/2021,10:08:31
CELLNEX,"57,9400","-0,21","58,1600","57,1800",50.858,"2.942,56",09/09/2021,10:08:29
CIE AUTOMOT.,"23,3800","-0,51","23,4600","23,1200",20.058,"467,65",09/09/2021,10:08:11
ENAGAS,"18,8750","-0,76","18,9800","18,8100",53.597,"1.013,15",09/09/2021,10:09:07
ENDESA,"20,2700","0,00","20,4300","20,2100",121.395,"2.467,39",09/09/2021,10:08:58
FERROVIAL,"24,9000","-1,62","25,1300","24,8800",70.881,"1.771,85",09/09/2021,10:08:45
FLUIDRA,"36,9000","-1,20","37,5500","36,8500",72.815,"2.698,83",09/09/2021,10:08:27
GRIFOLS CL.A,"20,9200","0,29","20,9900","20,7300",71.403,"1.491,35",09/09/2021,10:09:01
IAG,"1,7255","-3,25","1,7730","1,7120",11.379.718,"19.681,04",09/09/2021,10:09:08
IBERDROLA,"10,2400","-1,06","10,3050","10,2000",893.007,"9.143,95",09/09/2021,10:09:01
INDITEX,"29,4200","-1,08","29,5900","29,3600",170.575,"5.027,13",09/09/2021,10:08:58
INDRA A,"8,8550","-0,78","8,8650","8,7600",110.021,"970,57",09/09/2021,10:09:04
INM.COLONIAL,"8,4850","0,59","8,5200","8,4000",88.573,"751,10",09/09/2021,10:07:38
MAPFRE,"1,8145","-1,33","1,8205","1,8090",174.898,"317,33",09/09/2021,10:09:02
MELIA HOTELS,"5,6640","-2,11","5,7640","5,6580",121.729,"691,38",09/09/2021,10:07:39
MERLIN,"9,4000","1,14","9,4680","9,2900",112.090,"1.051,74",09/09/2021,10:07:38
NATURGY,"21,7000","-0,60","21,8200","21,6800",79.050,"1.719,27",09/09/2021,10:07:33
PHARMA MAR,"79,9600","-1,65","81,0800","79,7200",12.869,"1.032,95",09/09/2021,10:08:59
R.E.C.,"17,0100","-2,10","17,0800","16,9000",159.326,"2.705,39",09/09/2021,10:08:11
REPSOL,"9,4180","-1,02","9,4670","9,3720",828.583,"7.793,46",09/09/2021,10:09:06
SIEMENS GAME,"22,8300","-1,98","23,0100","22,7000",151.988,"3.472,16",09/09/2021,10:08:57
SOLARIA,"15,1050","-1,02","15,2550","15,0250",174.797,"2.640,07",09/09/2021,10:08:58
TELEFONICA,"4,1660","-1,40","4,2150","4,1605",1.069.256,"4.467,73",09/09/2021,10:09:07
VISCOFAN,"59,6500","-1,00","60,2000","59,6500",4.657,"278,68",09/09/2021,10:06:51
